,0
499,0x9c
500,0x9d
501,0x9c
502,0x9b
503,0x9d
504,0xa1
505,0xa2
506,0xa1
507,0x9f
508,0x9d
509,0x9c
510,0x9a
511,0x9a
512,0x98
513,0x95
514,0x93
515,0x93
516,0x95
517,0x95
518,0x94
519,0x92
520,0x91
521,0x91
522,0x91
523,0x92
524,0x93
525,0x92
526,0x8f
527,0x8e
528,0x8f
529,0x91
530,0x91
531,0x91
532,0x90
533,0x90
534,0x8f
535,0x8f
536,0x8f
537,0x8e
538,0x8d
539,0x8c
540,0x8c
541,0x8c
542,0x8b
543,0x8a
544,0x89
545,0x87
546,0x85
547,0x84
548,0x83
549,0x82
550,0x80
551,0x7f
552,0x7e
553,0x7e
554,0x7d
555,0x7c
556,0x7c
557,0x7b
558,0x7b
559,0x7b
560,0x7a
561,0x78
562,0x77
563,0x76
564,0x76
565,0x75
566,0x75
567,0x76
568,0x76
569,0x75
570,0x73
571,0x72
572,0x73
573,0x75
574,0x76
575,0x75
576,0x73
577,0x72
578,0x72
579,0x74
580,0x76
581,0x76
582,0x76
583,0x77
584,0x79
585,0x7a
586,0x7a
587,0x79
588,0x79
589,0x79
590,0x7a
591,0x7a
592,0x79
593,0x77
594,0x76
595,0x76
596,0x76
597,0x76
598,0x74
599,0x72
600,0x71
601,0x70
602,0x6f
603,0x6c
604,0x6a
605,0x68
606,0x67
607,0x67
608,0x66
609,0x67
610,0x69
611,0x6a
612,0x69
613,0x67
614,0x66
615,0x67
616,0x67
617,0x66
618,0x64
619,0x62
620,0x62
621,0x63
622,0x63
623,0x62
624,0x61
625,0x5f
626,0x5f
627,0x60
628,0x61
629,0x62
630,0x62
631,0x63
632,0x64
633,0x65
634,0x65
635,0x65
636,0x66
637,0x68
638,0x69
639,0x6a
640,0x6c
641,0x6f
642,0x72
643,0x73
644,0x73
645,0x75
646,0x77
647,0x7b
648,0x7e
649,0x7f
650,0x80
651,0x82
652,0x86
653,0x8a
654,0x8b
655,0x8a
656,0x89
657,0x89
658,0x8a
659,0x8b
660,0x8b
661,0x8c
662,0x8d
663,0x8e
664,0x8f
665,0x8f
666,0x8f
667,0x8e
668,0x8e
669,0x8f
670,0x90
671,0x90
672,0x8f
673,0x8f
674,0x90
675,0x90
676,0x90
677,0x8f
678,0x8f
679,0x8f
680,0x90
681,0x90
682,0x8f
683,0x8e
684,0x8e
685,0x8d
686,0x8d
687,0x8d
688,0x8d
689,0x8c
690,0x8b
691,0x8b
692,0x8b
693,0x8b
694,0x8b
695,0x8b
696,0x8b
697,0x8a
698,0x8a
699,0x8a
700,0x8a
701,0x8a
702,0x8a
703,0x8a
704,0x8a
705,0x89
706,0x88
707,0x88
708,0x87
709,0x86
710,0x86
711,0x85
712,0x85
713,0x84
714,0x83
715,0x83
716,0x82
717,0x81
718,0x80
719,0x7f
720,0x7f
721,0x80
722,0x81
723,0x82
724,0x83
725,0x85
726,0x87
727,0x88
728,0x87
729,0x87
730,0x86
731,0x85
732,0x85
733,0x85
734,0x86
735,0x86
736,0x85
737,0x83
738,0x83
739,0x85
740,0x85
741,0x85
742,0x84
743,0x84
744,0x84
745,0x84
746,0x82
747,0x81
748,0x80
749,0x7f
750,0x7e
751,0x7d
752,0x7c
753,0x7c
754,0x7c
755,0x7c
756,0x7c
757,0x7c
758,0x7c
759,0x7c
760,0x7d
761,0x7e
762,0x7e
763,0x7e
764,0x7e
765,0x7e
766,0x7d
767,0x7b
768,0x7a
769,0x79
770,0x79
771,0x79
772,0x7a
773,0x7b
774,0x7c
775,0x7d
776,0x7e
777,0x7f
778,0x7e
779,0x7b
780,0x7a
781,0x7a
782,0x7c
783,0x7c
784,0x7c
785,0x7b
786,0x7b
787,0x7c
788,0x7e
789,0x7f
790,0x80
791,0x81
792,0x82
793,0x84
794,0x85
795,0x86
796,0x86
797,0x88
798,0x89
799,0x8b
800,0x8a
801,0x89
802,0x8a
803,0x8d
804,0x8f
805,0x8f
806,0x8f
807,0x8f
808,0x8f
809,0x90
810,0x91
811,0x92
812,0x92
813,0x91
814,0x91
815,0x91
816,0x92
817,0x92
818,0x92
819,0x91
820,0x92
821,0x93
822,0x93
823,0x92
824,0x92
825,0x92
826,0x93
827,0x92
828,0x91
829,0x91
830,0x91
831,0x91
832,0x90
833,0x8f
834,0x8f
835,0x8f
836,0x8f
837,0x8d
838,0x8c
839,0x8c
840,0x8b
841,0x8a
842,0x87
843,0x86
844,0x83
845,0x80
846,0x7c
847,0x7b
848,0x7c
849,0x7c
850,0x77
851,0x71
852,0x6e
853,0x6e
854,0x70
855,0x70
856,0x71
857,0x71
858,0x71
859,0x71
860,0x71
861,0x70
862,0x6e
863,0x6c
864,0x6b
865,0x6c
866,0x6d
867,0x6d
868,0x6c
869,0x6b
870,0x6a
871,0x69
872,0x68
873,0x69
874,0x69
875,0x68
876,0x67
877,0x67
878,0x66
879,0x65
880,0x64
881,0x63
882,0x63
883,0x63
884,0x64
885,0x66
886,0x67
887,0x67
888,0x66
889,0x67
890,0x68
891,0x6a
892,0x6c
893,0x6c
894,0x6b
895,0x6c
896,0x6e
897,0x70
898,0x6f
899,0x6e
900,0x6d
901,0x6e
902,0x6f
903,0x70
904,0x70
905,0x6f
906,0x70
907,0x71
908,0x74
909,0x77
910,0x77
911,0x75
912,0x74
913,0x73
914,0x74
915,0x74
916,0x74
917,0x75
918,0x76
919,0x78
920,0x78
921,0x79
922,0x7b
923,0x7c
924,0x7d
925,0x7e
926,0x7f
927,0x80
928,0x80
929,0x81
930,0x83
931,0x84
932,0x84
933,0x85
934,0x87
935,0x89
936,0x8b
937,0x8b
938,0x8a
939,0x89
940,0x88
941,0x88
942,0x8a
943,0x8b
944,0x89
945,0x86
946,0x85
947,0x87
948,0x8a
949,0x8d
950,0x8e
951,0x8f
952,0x8f
953,0x8e
954,0x8e
955,0x8e
956,0x8d
957,0x8c
958,0x8d
959,0x8d
960,0x8e
961,0x8e
962,0x8e
963,0x90
964,0x91
