,0
502,0x8f
503,0x90
504,0x96
505,0x9a
506,0x9c
507,0x9d
508,0xa0
509,0xa3
510,0xa3
511,0xa1
512,0x9d
513,0x98
514,0x90
515,0x8b
516,0x87
517,0x7e
518,0x78
519,0x71
520,0x69
521,0x62
522,0x5c
523,0x55
524,0x4e
525,0x47
526,0x44
527,0x43
528,0x46
529,0x4b
530,0x4e
531,0x51
532,0x55
533,0x58
534,0x5f
535,0x66
536,0x6d
537,0x73
538,0x78
539,0x7e
540,0x82
541,0x89
542,0x8c
543,0x90
544,0x92
545,0x92
546,0x92
547,0x90
548,0x92
549,0x8f
550,0x90
551,0x8e
552,0x8b
553,0x87
554,0x82
555,0x7e
556,0x7d
557,0x7d
558,0x7b
559,0x7a
560,0x78
561,0x76
562,0x73
563,0x71
564,0x70
565,0x70
566,0x6f
567,0x6d
568,0x6d
569,0x6c
570,0x6f
571,0x71
572,0x70
573,0x70
574,0x70
575,0x71
576,0x70
577,0x74
578,0x76
579,0x78
580,0x7a
581,0x7b
582,0x7a
583,0x7a
584,0x7a
585,0x7d
586,0x7d
587,0x7b
588,0x7b
589,0x77
590,0x74
591,0x71
592,0x6d
593,0x6a
594,0x65
595,0x62
596,0x5f
597,0x5f
598,0x5c
599,0x59
600,0x57
601,0x58
602,0x59
603,0x62
604,0x6d
605,0x76
606,0x7d
607,0x84
608,0x89
609,0x90
610,0x98
611,0xa0
612,0xa8
613,0xb2
614,0xb8
615,0xb9
616,0xb8
617,0xb5
618,0xb0
619,0xab
620,0xa4
621,0x9c
622,0x90
623,0x7e
624,0x76
625,0x6c
626,0x65
627,0x5e
628,0x55
629,0x4d
630,0x44
631,0x41
632,0x43
633,0x46
634,0x47
635,0x4b
636,0x4d
637,0x4e
638,0x51
639,0x57
640,0x5e
641,0x62
642,0x66
643,0x6a
644,0x71
645,0x76
646,0x7b
647,0x7b
648,0x7d
649,0x81
650,0x82
651,0x85
652,0x87
653,0x88
654,0x8b
655,0x8b
656,0x8b
657,0x8c
658,0x8e
659,0x90
660,0x96
661,0x9d
662,0x9a
663,0x90
664,0x88
665,0x82
666,0x80
667,0x81
